
 Sim No:, 1,, N:, 1.0,, d:, 4.357 
Step No:, 1,, N_bact:, 80,, N_food:,1519 
 
Symbol:, pos x:, pos y: 
O,4.06,2.44
O,9.61,5.29
O,0.30,3.04
O,8.76,7.31
O,5.71,4.49
O,2.24,4.35
O,8.58,7.55
O,8.95,9.74
O,3.93,4.08
O,6.21,5.27
O,3.77,1.35
O,0.94,0.79
O,2.96,1.59
O,6.63,8.89
O,5.78,1.90
O,5.96,7.97
O,3.43,1.47
O,1.08,2.24
O,1.53,2.58
O,9.34,4.47
O,1.78,1.29
O,9.63,3.14
O,2.66,9.43
O,2.60,4.31
O,3.23,3.18
O,2.23,5.19
O,5.86,1.62
O,1.46,8.04
O,6.61,7.58
O,1.69,4.50
O,8.92,1.64
O,8.56,4.91
O,9.60,5.40
O,3.02,3.80
O,1.42,1.18
O,6.33,5.22
O,6.05,1.62
O,0.56,4.07
O,2.83,4.10
O,1.56,2.73
O,9.69,7.28
O,8.27,0.85
O,0.12,9.23
O,5.29,0.12
O,1.89,0.65
O,7.22,8.38
O,4.65,3.82
O,4.77,8.83
O,6.47,0.23
O,1.53,9.35
O,2.73,9.13
O,7.86,4.99
O,7.47,8.56
O,8.73,3.30
O,2.70,0.18
O,6.03,2.51
O,2.24,3.31
O,9.71,1.78
O,0.42,6.36
O,7.99,8.85
O,2.49,3.73
O,2.11,6.51
O,3.65,3.98
O,8.69,2.82
O,2.69,5.31
O,6.74,6.25
O,4.75,8.68
O,5.25,8.11
O,8.38,3.94
O,4.33,1.20
O,8.57,1.14
O,3.68,2.42
O,0.24,1.19
O,9.36,8.93
O,6.42,5.43
O,1.46,1.33
O,7.94,9.11
O,1.44,9.38
O,4.34,4.91
O,6.81,5.21
O,1.56,3.92
O,4.48,2.14
O,4.70,0.80
O,0.27,7.74
O,2.89,6.24
O,3.23,1.77
O,5.72,1.34
O,3.83,2.05
O,1.34,5.28
O,1.99,9.20
O,4.02,2.45
O,0.31,1.57
O,7.90,6.31
O,5.47,2.22
O,1.56,0.34
O,9.18,4.19
O,8.62,2.92
O,7.99,3.32
O,1.60,5.37
O,3.43,4.09
O,6.68,1.32
O,0.13,0.20
O,4.75,5.25
O,8.96,0.63
O,7.14,0.31
O,8.23,6.67
O,8.61,1.61
O,6.14,4.62
O,0.46,8.01
O,8.14,3.99
O,8.87,7.17
O,3.52,3.05
O,1.58,1.86
O,5.80,5.85
O,4.09,4.47
O,9.70,0.59
O,8.12,3.31
O,4.78,9.32
O,0.92,2.95
O,7.10,4.89
O,1.45,6.67
O,9.49,1.69
O,6.17,2.79
O,6.21,4.52
O,6.94,9.34
O,1.31,4.98
O,0.21,1.92
O,1.35,4.36
O,9.11,9.04
O,0.19,5.57
O,6.64,0.91
O,3.12,7.49
O,8.71,2.72
O,2.55,4.44
O,8.65,1.42
O,8.73,4.80
O,6.83,8.14
O,3.32,1.32
O,2.43,0.27
O,3.48,2.06
O,9.67,9.28
O,7.22,0.99
O,3.58,1.23
O,0.18,0.40
O,9.75,4.96
O,3.02,5.34
O,4.64,2.72
O,5.48,0.14
O,4.74,4.09
O,1.32,1.50
O,4.81,9.16
O,5.36,5.85
O,4.73,0.79
O,4.36,9.37
O,7.62,3.71
O,7.34,8.55
O,5.22,1.25
O,7.40,9.07
O,5.84,0.53
O,9.56,8.82
O,8.84,5.47
O,3.73,8.80
O,7.44,2.34
O,1.39,3.55
O,5.22,9.94
O,5.20,0.29
O,8.53,7.77
O,3.00,0.27
O,1.27,6.44
O,1.10,0.95
O,0.80,2.48
O,3.44,2.11
O,8.70,0.50
O,8.97,1.75
O,2.36,1.84
O,8.81,5.84
O,1.07,6.25
O,0.34,3.01
O,0.39,8.14
O,3.93,7.46
O,9.34,8.68
O,5.17,2.08
O,1.51,0.47
O,8.22,5.68
O,4.94,0.10
O,7.48,4.70
O,3.48,7.87
O,4.25,4.84
O,8.05,7.97
O,6.73,4.50
O,9.50,6.64
O,8.83,6.11
O,6.71,0.07
O,7.04,1.60
O,9.36,7.62
O,3.73,0.16
O,1.15,1.58
O,3.84,4.46
O,1.69,8.65
O,9.19,4.30
O,1.00,5.95
O,9.71,9.89
O,3.23,3.48
O,6.46,6.93
O,9.28,5.58
O,4.49,2.78
O,5.41,1.10
O,7.00,9.64
O,9.33,5.00
O,2.58,4.08
O,7.57,6.10
O,7.14,0.89
O,1.33,7.02
O,8.63,4.65
O,8.44,3.34
O,0.26,4.54
O,4.63,7.35
O,7.41,2.95
O,9.09,2.80
O,7.24,0.93
O,9.62,6.00
O,8.10,1.27
O,9.20,6.76
O,8.39,2.42
O,3.31,6.41
O,0.44,6.56
O,0.71,2.70
O,3.35,1.58
O,5.07,0.77
O,9.93,1.88
O,6.51,6.15
O,9.07,5.11
O,4.79,0.19
O,7.45,3.48
O,9.41,3.91
O,3.98,3.60
O,6.77,1.70
O,4.20,6.17
O,7.15,2.95
O,6.41,5.44
O,1.58,9.92
O,1.84,7.01
O,0.76,5.74
O,6.30,0.99
O,0.85,7.87
